Source,Publisher,Year
US Patent App 09,,2002
US Patent 6,,2001
Nature immunology,,2001
Journal of Cell Biology,,2000
MOLECULAR BIOLOGY OF THE CELL 9 33A 33A,,1998
MOLECULAR BIOLOGY OF THE CELL,,1996
Education Program 26th Congr Int Soc Haematology Singapore,,1996
Journal of Biological Chemistry Paper Edition,,1994
Circulation,,1992
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
Fibronectin in Health and Disease,,1989
EUROPEAN JOURNAL OF BIOCHEMISTRY 171 1 2,,1988
THROMBOSIS AND HAEMOSTASIS,,1987
Thrombosis and Haemostasis,,1987
THROMBOSIS AND HAEMOSTASIS,,1985
THROMBOSIS AND HAEMOSTASIS,,1985
FEDERATION PROCEEDINGS,,1984
FEDERATION PROCEEDINGS,,1980
FEDERATION PROCEEDINGS,,1980
CLINICAL RESEARCH 28 1 A140 A,,1980
Arthritis Rheumatism Official Journal of the American College of,,1979
FEDERATION PROCEEDINGS,,1979
FEDERATION PROCEEDINGS,,1977
FEDERATION PROCEEDINGS,,1977
JOURNAL OF CLINICAL CHEMISTRY AND CLINICAL BIOCHEMISTRY,,1976
Signaling Through Cell Adhesion Molecules,,2019
US Patent App 16,,2019
J Cell Biol jcb,,2019
The FASEB Journal 33 1_supplement 523 7 523,,2019
JCI insight,,2019
Stroke 50 Suppl_1,,2019
Stroke 50 Suppl_1 A64 A,,2019
Cell reports 26 1 119 130,,2019
The FASEB Journal 31 1_supplement 934 28 934,,2017
Stroke 48 suppl_1 A121 A,,2017
Stroke 48 suppl_1 A126 A,,2017
EUROPEAN JOURNAL OF IMMUNOLOGY,,2016
The Journal of Immunology 196 1 Supplement 125 3 125,,2016
The FASEB Journal 30 1_supplement 1210 2 1210,,2016
Circulation 132 suppl_3 A14043 A,,2015
Circulation 132 Suppl_3,,2015
US Patent 8,,2015
,,2015
MOLECULAR BIOLOGY OF THE CELL,,2015
MOLECULAR BIOLOGY OF THE CELL,,2015
MOLECULAR BIOLOGY OF THE CELL,,2015
Blood,,2014
ANGIOGENESIS,,2014
Blood,,2013
US Patent 8,,2013
Arteriosclerosis Thrombosis and Vascular Biology 33 suppl_1 A70 A,,2013
Nature,,2013
The Journal of Immunology 190 1 Supplement 129 3 129,,2013
ANGIOGENESIS,,2013
Biochemistry of Platelets,,2012
Blood,,2012
The FASEB Journal 26 1_supplement 680 11 680,,2012
Biophysical Journal 102 3 347a,,2012
MOLECULAR BIOLOGY OF THE CELL,,2012
MOLECULAR BIOLOGY OF THE CELL,,2012
Journal of Thrombosis and Haemostasis,,2011
The Journal of Immunology 186 1 Supplement 102 16 102,,2011
,,2011
,,2011
,,2011
,,2011
,,2011
MOLECULAR BIOLOGY OF THE CELL,,2011
BLOOD,,2009
Nature Medicine,,2009
The Journal of Immunology 182 1 Supplement 94 11 94,,2009
The FASEB Journal 23 1_supplement 710 9 710,,2009
Blood,,2008
Current Biology 18 18 R866 R,,2008
Transfusion 48 208A 209A,,2008
Cell Junctions Adhesion Development and Disease,,2008
The FASEB Journal 22 1_supplement 174 2 174,,2008
The FASEB Journal 22 1_supplement 166 9 166,,2008
,Bloomsbury Publishing USA,2007
Circulation 116 suppl_16 II_297 II_,,2007
Cancer Research 67 9 Supplement,,2007
The FASEB Journal 21 5 A187 A,,2007
The Journal of experimental medicine 204 3 i,,2007
Blood,,2006
JOURNAL OF BONE AND MINERAL RESEARCH 21 S103 S,,2006
Journal of Biological Chemistry,,2006
JOURNAL OF IMMUNOLOGY 176 S37 S,,2006
The Journal of Cell Biology,,2005
ARTHRITIS AND RHEUMATISM 52 9 S269 S,,2005
The Febs Journal,,2005
Cancer Research 65 9 Supplement,,2005
The Journal of Cell Biology,,2005
,,2005
Journal of cell biology,,2005
MOLECULAR BIOLOGY OF THE CELL 15 56A 56A,,2004
MOLECULAR BIOLOGY OF THE CELL 15 4A 4A,,2004
MOLECULAR BIOLOGY OF THE CELL 15 42A 43A,,2004
US Patent 6,,2004
Journal of Biological Chemistry,,2004
BLOOD 102 11 161A 161A,,2003
FASEB JOURNAL 17 5 A971 A,,2003
Journal of Biological Chemistry,,2003
SCIENCE NEW YORK THEN WASHINGTON,,2003
Journal of Immunology,,2003
MOLECULAR BIOLOGY OF THE CELL 13 280A 281A,,2002
MOLECULAR BIOLOGY OF THE CELL 13 9A 9A,,2002
Molecular Biology of the Cell 13 294A 294A,,2002
Molecular Biology of the Cell 13 347A 347A,,2002
Differentiation,,2002
ARTHRITIS AND RHEUMATISM 46 9 S603 S,,2002
GLIA S18 S,,2002
FASEB JOURNAL 16 5 A1210 A,,2002
Journal of Biological Chemistry,,2002
Journal of Biological Chemistry,,2002
BLOOD 98 11 702A 702A,,2001
Molecular Biology of the Cell 12 402A 402A,,2001
MOLECULAR BIOLOGY OF THE CELL 12 463A 463A,,2001
MOLECULAR BIOLOGY OF THE CELL 12 9A 9A,,2001
MOLECULAR BIOLOGY OF THE CELL 12 452A 452A,,2001
FASEB JOURNAL 15 4 A166 A,,2001
FASEB JOURNAL 15 4 A331 A,,2001
MOLECULAR BIOLOGY OF THE CELL 11 32A 32A,,2000
MOLECULAR BIOLOGY OF THE CELL 11 261A 261A,,2000
FASEB JOURNAL 14 6 A1140 A,,2000
Molecular Biology of the Cell 11 9 11,,2000
MOLECULAR BIOLOGY OF THE CELL 10 122A 122A,,1999
MOLECULAR BIOLOGY OF THE CELL 10 148A 148A,,1999
Emergence and Control of Rodent Borne Viral Diseases,,1999
J Virol,,1999
Blood,,1999
MOLECULAR BIOLOGY OF THE CELL 9 133A 133A,,1998
FASEB JOURNAL 12 4 A371 A,,1998
FASEB JOURNAL 12 4 A577 A,,1998
The Journal of Clinical Investigation 100 11S 1S,,1997
BLOOD,,1997
MOLECULAR BIOLOGY OF THE CELL,,1997
MOLECULAR BIOLOGY OF THE CELL,,1997
Arthritis Rheumatism 40 9 S76 S,,1997
FASEB JOURNAL 11 9 A1001 A,,1997
THROMBOSIS AND HAEMOSTASIS P1404 P,,1997
THROMBOSIS AND HAEMOSTASIS P2752 P,,1997
JOURNAL OF INVESTIGATIVE MEDICINE 45 265A 265A,,1997
CIRCULATION,,1996
FASEB JOURNAL,,1996
FASEB JOURNAL,,1996
Transfusion and Apheresis Science 3 17 IV,,1996
Journal of Neurochemistry 66 S,,1996
MOLECULAR BIOLOGY OF THE CELL,,1995
MOLECULAR BIOLOGY OF THE CELL,,1995
FASEB JOURNAL 9 6 A1389 A,,1995
JOURNAL OF CELLULAR BIOCHEMISTRY,,1995
CIRCULATION,,1994
CIRCULATION,,1994
KIDNEY INTERNATIONAL,,1994
JOURNAL OF CELLULAR BIOCHEMISTRY,,1994
THROMBOSIS AND HAEMOSTASIS,,1993
JOURNAL OF LEUKOCYTE BIOLOGY,,1993
Transfusion Science 14 1 iii,,1993
CIRCULATION,,1992
CIRCULATION,,1992
Curr Opin Cell Biol,,1992
FASEB JOURNAL 6 1 A412 A,,1992
BLOOD,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
THROMBOSIS AND HAEMOSTASIS,,1991
CLINICAL RESEARCH 39 2 A238 A,,1991
FASEB JOURNAL 5 4 A901 A,,1991
ARTERIOSCLEROSIS 10 5 A897 A,,1990
ARTERIOSCLEROSIS 10 5 A897 A,,1990
Pathology,,1990
Fibrinolysis,,1990
THROMBOSIS AND HAEMOSTASIS,,1989
THROMBOSIS AND HAEMOSTASIS,,1989
THROMBOSIS AND HAEMOSTASIS,,1989
THROMBOSIS AND HAEMOSTASIS,,1989
THROMBOSIS AND HAEMOSTASIS,,1989
Fibronectin,,1989
ARTERIOSCLEROSIS 8 5 A668 A,,1988
ARTERIOSCLEROSIS 8 5 A724 A,,1988
ARTERIOSCLEROSIS 8 5 A669 A,,1988
ARTERIOSCLEROSIS 8 5 A669 A,,1988
AUSTRALIAN AND NEW ZEALAND JOURNAL OF MEDICINE,,1988
CLINICAL RESEARCH 36 3 A569 A,,1988
FASEB JOURNAL 2 4 A807 A,,1988
Thrombosis and Haemostasis,,1987
Thrombosis and Haemostasis,,1987
Thrombosis and Haemostasis,,1987
FEDERATION PROCEEDINGS,,1987
CIRCULATION,,1986
Circulation,,1986
CLINICAL RESEARCH 34 2 A632 A,,1986
FEDERATION PROCEEDINGS,,1986
Fibrinogen Fibrin Formation and Fibrinolysis Proceedings Workshop in,,1986
THROMBOSIS RESEARCH,,1986
CLINICAL RESEARCH 34 1 A98 A,,1986
THROMBOSIS RESEARCH,,1986
Biochemistry of platelets,,1986
CLINICAL RESEARCH 33 2 A544 A,,1985
THROMBOSIS AND HAEMOSTASIS,,1985
THROMBOSIS AND HAEMOSTASIS,,1985
NOUVELLE REVUE FRANCAISE D HEMATOLOGIE,,1985
FEDERATION PROCEEDINGS,,1985
NOUVELLE REVUE FRANCAISE D HEMATOLOGIE,,1985
Arthritis and Allied Conditions A Textbook of Rheumatology,,1985
Sangre,,1983
Journal of Nuclear Medicine,,1982
FEDERATION PROCEEDINGS,,1981
CIRCULATION,,1980
FEDERATION PROCEEDINGS,,1980
ARTHRITIS AND RHEUMATISM,,1980
ARTHRITIS AND RHEUMATISM,,1980
CIRCULATION,,1980
CLINICAL RESEARCH 28 2 A311 A,,1980
CLINICAL RESEARCH 27 2 A295 A,,1979
JOURNAL OF SUPRAMOLECULAR STRUCTURE,,1979
FEDERATION PROCEEDINGS,,1978
CIRCULATION,,1978
CLINICAL RESEARCH 26 3 A503 A,,1978
ARTHRITIS AND RHEUMATISM,,1977
INVESTIGATIVE RADIOLOGY,,1977
BLOOD,,1977
FEDERATION PROCEEDINGS,,1976
CLINICAL RESEARCH 24 3 A446 A,,1976
Chicago Univ IL USA Dept of Medicine Medical Coll,of Wisconsin …,1976
CLINICAL RESEARCH 23 4 A526 A,,1975
Current Biology,,1800
,,
,,
,,
,,
,,
,,
,,
,,
Nature medicine,nature.com,2009
Nature,nature.com,2016
Arteriosclerosis thrombosis and,Am Heart Assoc,2010
Nature immunology,nature.com,2008
The Journal of,Am Assoc Immnol,2000
Proceedings of the,National Acad Sciences,2009
Journal of Biological,ASBMB,2001
Thrombosis and,thieme-connect.com,2005
Blood,Am Soc Hematology,2010
The Journal of,Am Soc Clin Investig,2013
The Journal of,Am Soc Clin Investig,2014
Journal of Biological Chemistry,ASBMB,2002
The Journal of,Am Soc Clin Investig,2010
Medical science,medscimonit.com,2005
and cellular biology,Am Soc Microbiol,2006
Nature,nature.com,2013
and vascular biology,Am Heart Assoc,2004
of Thrombosis and,Wiley Online Library,2013
Blood,Am Soc Hematology,2009
Journal of Biological,ASBMB,2007
Journal of,jem.rupress.org,2008
Seminars in thrombosis and hemostasis,thieme-connect.com,2004
Blood,Am Soc Hematology,2004
Journal of Biological Chemistry,ASBMB,2002
Immunological reviews,Wiley Online Library,2007
The Journal of,Am Soc Clin Investig,2012
Developmental cell,Elsevier,2006
The Journal of,Am Soc Clin Investig,2015
Nature,nature.com,2017
Proceedings of the,National Acad Sciences,2009
Developmental cell,Elsevier,2015
Molecular and cellular biology,Am Soc Microbiol,2003
and cellular biology,Am Soc Microbiol,2004
Stroke,Am Heart Assoc,2014
Blood,Am Soc Hematology,2005
Genes,genesdev.cshlp.org,2006
The Journal of,Am Soc Clin Investig,2016
Journal of Biological Chemistry,ASBMB,2003
Genes,genesdev.cshlp.org,2016
Journal of Biological,ASBMB,2013
Developmental cell,Elsevier,2012
Journal of,jem.rupress.org,2014
Blood,Am Soc Hematology,2011
Circulation research,Am Heart Assoc,2014
The Journal of clinical investigation,Am Soc Clin Investig,2007
Blood,Am Soc Hematology,2007
Annals of biomedical,Springer,2004
Blood,Am Soc Hematology,2013
Journal of the American Society of,Elsevier,2011
Blood,Am Soc Hematology,2016
Nature medicine,nature.com,2008
Nature immunology,nature.com,2006
Arteriosclerosis thrombosis and vascular,Am Heart Assoc,2006
Developmental cell,Elsevier,2017
and vascular biology,Am Heart Assoc,2015
Proceedings of the,National Acad Sciences,2018
The Journal of clinical,Am Soc Clin Investig,2015
Arterioscler Thromb Vasc Biol,pdfs.semanticscholar.org,2015
Laboratory,nature.com,2019
Proceedings of the,ieeexplore.ieee.org,2002
,Am Heart Assoc,2012
JCI,Am Soc Clin Investig,2019
JCI,Am Soc Clin Investig,2019
,Citeseer,2010
Citeseer,,
Lymphangiogenesis,Springer,2018
Springer,,
researchgate net,,
,,
Cardiovascular,cardiovascularpathology.com,2004
B75 CURRENT UPDATES IN,atsjournals.org,2017
pdfs semanticscholar org,,
Blood,Am Soc Hematology,2006
The Journal of,Am Soc Clin Investig,2019
Blood,Am Soc Hematology,2004
Stroke,Am Heart Assoc,2019
Developmental,ncbi.nlm.nih.gov,2015
,,
,Americain Society of Hematology,2008
,Americain Society of Hematology,2006
,Americain Society of Hematology,2007
Developmental Comparative Immunology,,2009
Developmental Comparative Immunology,,2010
Cell Stress and Chaperones,,2012
Scientific reports,,2016
Cellular and molecular life sciences,,2015
Comparative Biochemistry and Physiology Part D Genomics and Proteomics 5,,2010
Developmental Comparative Immunology,,2013
Chinese journal of oceanology and limnology,,2012
The American journal of pathology,,2016
Molecular biology reports,,2014
Developmental Comparative Immunology,,2013
Journal of vascular surgery 45 6 A25 A,,2007
Journal of Experimental Medicine,,1997
Journal of virology,,1998
Journal of Virology,,1998
Academic Press,,2002
American Journal of Physiology Cell Physiology 286 3 C507 C,,2004
Molecular and cellular biology,,1999
Journal of Biological Chemistry,,1997
Science,,2017
Frontiers in pharmacology,,2012
Oncogene,,2006
Journal of Virology,,1997
Science,,1997
Molecular and cellular biology,,2004
Journal of Biological Chemistry,,2007
Circulation,,2013
Circulation research,,2008
American Journal of Physiology Cell Physiology 273 3 C973 C,,1997
Prostaglandins other lipid mediators 82 1 4,,2007
Molecular cell,,2008
American Journal of Physiology Heart and Circulatory Physiology 290,,2006
Biochimica et Biophysica Acta BBA Gene Regulatory Mechanisms,,2015
Seminars in immunology,,1998
Circulation,,2012
Journal of vascular surgery,,2005
Acta Pædiatrica,,2001
The Journal of clinical investigation,,2011
Journal of Biological Chemistry,,2001
Journal of Biological Chemistry,,2001
Arteriosclerosis thrombosis and vascular biology,,2011
Molecular pharmacology,,1997
PloS one,,2014
Frontiers in pharmacology,,2011
The Journal of clinical investigation,,2013
Cancer research,,2010
American Journal of Physiology Cell Physiology 272 5 C1558 C,,1997
American Journal of Physiology Cell Physiology 299 1 C119 C,,2010
European journal of pharmacology,,2015
The Journal of clinical investigation,,2008
Journal of molecular and cellular cardiology,,2012
Molecular pharmacology,,2002
Circulation,,2014
Blood,,2015
Drug development research 39 3 4,,1996
DNA and cell biology,,1997
Current medicinal chemistry,,2007
American Journal of Physiology Cell Physiology 271 2 C612 C,,1996
EMBO molecular medicine,,2016
Current atherosclerosis reports,,2009
Sci Signal 8 376 ra44 ra,,2015
Vitamins Hormones,,2012
Cellular and molecular life sciences,,2012
Journal of Biological Chemistry,,2011
Journal of molecular and cellular cardiology,,2009
EMBO molecular medicine,,2016
Frontiers in cardiovascular medicine,,2017
Current molecular medicine,,2014
Current molecular medicine,,2011
US Patent App 10,,2005
Gene,,1994
PloS one,,2013
Arteriosclerosis thrombosis and vascular biology,,2017
Circulation,,2018
JACC Basic to Translational Science,,2018
Progress in molecular biology and translational science,,2009
Journal of Biological Chemistry,,2007
Circulation research,,2008
Arteriosclerosis thrombosis and vascular biology ATVBAHA 119,,2019
Nature communications,,2018
Circulation research,,2016
Elsevier,,2010
Journal of Biological Chemistry,,2000
The Journal of clinical investigation,,2019
Circulation,,2019
Arteriosclerosis Thrombosis and Vascular Biology 37 suppl_1 A459 A,,2017
Circulation research,,2014
Journal of Biological Chemistry,,2000
Genomics,,2000
Circulation research,,2019
Brain Stimulation Basic Translational and Clinical Research in,,2019
Obesity Surgery,,2019
Arteriosclerosis thrombosis and vascular biology,,2019
bioRxiv,,2018
Journal of thoracic disease,,2017
Basic and Clinical Pharmacology 14th Edition,,2017
Arteriosclerosis Thrombosis and Vascular Biology 37 suppl_1 A629 A,,2017
CLINICAL PHARMACOLOGY THERAPEUTICS 101 S 1 S58 S,,2017
Circulation 134 suppl_1 A19281 A,,2016
Arteriosclerosis Thrombosis and Vascular Biology 36 suppl_1 A356 A,,2016
Arteriosclerosis Thrombosis and Vascular Biology 36 suppl_1 A176 A,,2016
Circulation,,2016
International Journal of Cardiovascular Research,,2015
EBioMedicine,,2015
Journal of Thrombosis and Haemostasis,,2015
Blood,,2015
ANGIOGENESIS,,2014
Circulation 130 8 e72,,2014
추계총회 및 학술대회,,2013
Journal of Vascular Surgery,,2013
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 30 11 E320,,2010
The FASEB Journal 24 1_supplement 957 5 957,,2010
The FASEB Journal 23 1_supplement 577 10 577,,2009
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 28 6 E145,,2008
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 28 6 E42,,2008
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 28 6 E111,,2008
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY 28 6 E77,,2008
The FASEB Journal 22 1_supplement 719 15 719,,2008
REPRODUCTIVE SCIENCES 15 2 64A 64A,,2008
REPRODUCTIVE SCIENCES,,2008
Circulation 116 suppl_16 II_47 II_,,2007
REPRODUCTIVE SCIENCES,,2007
The FASEB Journal 20 4 A665 A,,2006
JOURNAL OF THE SOCIETY FOR GYNECOLOGIC INVESTIGATION 13 2 65A 65A,,2006
Cancer Research 65 9 Supplement,,2005
Molecular and Cellular Biology,,2004
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS 197 3 S100 S,,2003
Journal of Biological Chemistry,,2001
SURGICAL FORUM CHICAGO,,2001
Genomics,,2000
AMERICAN JOURNAL OF HUMAN GENETICS 65 4 A356 A,,1999
Molecular and Cellular Biology,,1999
PROCEEDINGS WESTERN PHARMACOLOGY SOCIETY,,1999
Immunology Today,,1998
FASEB JOURNAL 11 9 A1328 A,,1997
Case Western Reserve University,,1997
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY 7 9 A2192 A,,1996
EXPERIMENTAL HEMATOLOGY,,1996
EXPERIMENTAL HEMATOLOGY,,1996
FASEB JOURNAL,,1996
FASEB JOURNAL 9 3 A119 A,,1995
,,
Nature,,1994
Circulation research,,2001
Circulation research,,2002
American Journal of Physiology Cell Physiology 280 1 C53 C,,2001
Circulation research,,2002
Proceedings of the National Academy of Sciences,,1997
Circulation Research,,1998
American Journal of Physiology Heart and Circulatory Physiology 268,,1995
Circulation research,,2001
Circulation,,2003
Circulation research,,1999
Hypertension,,1998
Experimental biology and medicine,,2006
Arteriosclerosis thrombosis and vascular biology,,2002
Free Radical Biology and Medicine,,2011
Journal of molecular and cellular cardiology,,2001
American Journal of Physiology Heart and Circulatory Physiology 279,,2000
Arteriosclerosis thrombosis and vascular biology,,2003
Circulation,,2000
Circulation research,,2003
Arteriosclerosis thrombosis and vascular biology,,2005
Circulation,,2006
Neuropsychopharmacology,,2009
Hypertension,,2008
Hypertension,,1999
Circulation,,2002
Cardiovascular research,,2007
American Journal of Physiology Heart and Circulatory Physiology 265,,1993
Free Radical Biology and Medicine,,2009
Hypertension,,2006
American Journal of Physiology Heart and Circulatory Physiology 289,,2005
Circulation research,,1994
Cardiovascular research,,2010
The Journal of physiology,,2006
American Journal of Physiology Renal Physiology 275 5 F691 F,,1998
Circulation research,,2004
Current opinion in nephrology and hypertension,,2006
The Journal of clinical investigation,,2015
Free Radical Biology and Medicine,,2011
The Journal of clinical investigation,,2008
American Journal of Physiology Heart and Circulatory Physiology 288,,2005
Hypertension,,2008
Free Radical Biology and Medicine,,2008
American Journal of Physiology Heart and Circulatory Physiology 270 1 H81 H,,1996
Arteriosclerosis thrombosis and vascular biology,,2012
Cellular and molecular life sciences,,2012
Hypertension,,2001
The FASEB journal,,2006
Antioxidants redox signaling,,2014
American Journal of Physiology Heart and Circulatory Physiology 302,,2012
Hypertension,,2011
American Journal of Physiology Heart and Circulatory Physiology 290,,2006
Matrix Biology,,2014
American Journal of Physiology Heart and Circulatory Physiology 298,,2010
American Journal of Physiology Renal Physiology 292 6 F1867 F,,2007
Cardiovascular research,,2012
Arteriosclerosis thrombosis and vascular biology,,2010
Cardiovascular research,,2007
Arteriosclerosis thrombosis and vascular biology,,2015
Circulation research,,1991
Journal of the American Society of Nephrology,,2014
Journal of Biological Chemistry,,2013
American Journal of Physiology Heart and Circulatory Physiology 306,,2013
Hypertension,,2010
Diabetologia,,1998
American Journal of Physiology Heart and Circulatory Physiology 277,,1999
Circulation research,,2002
Arteriosclerosis thrombosis and vascular biology,,2005
Hypertension,,2005
Antioxidants redox signaling,,2011
Hypertension,,2009
Investigative ophthalmology visual science,,1989
Pharmacological Reports,,2008
Circulation Research,,2000
Hypertension,,2016
Current pharmaceutical design,,2015
Vascular pharmacology 47 5 6,,2007
Free Radical Biology and Medicine,,2017
PloS one,,2016
Atherosclerosis,,2015
International journal of hypertension,,2013
Journal of leukocyte biology,,2002
Molecular and cellular endocrinology,,1989
Medchemcomm,,2013
Archives of biochemistry and biophysics,,1987
Clinical Science,,2017
Cellular signalling,,2014
Proceedings of the National Academy of Sciences 113 36 E5308,,2016
Arteriosclerosis thrombosis and vascular biology,,2003
Arteriosclerosis thrombosis and vascular biology,,2001
Antioxidants redox signaling,,2017
International journal of molecular sciences,,2013
Redox biology,,2018
Circulation research,,2006
Circulation 96 8S,,1997
Endothelial Function in Hypertension,,1997
Circulation,,1993
Redox biology,,2015
Invest Ophthalmol Vis Sci,,1989
Sci Signal 10 501 eaaj,,2017
Hypertension 62 suppl_1 A163 A,,2013
Antioxid Redox Signal,,2013
Circulation,,1998
US Patent 9,,2015
American journal of respiratory and critical care medicine,,2012
Arteriosclerosis thrombosis and vascular biology,,2011
CIRCULATION,,2002
FASEB JOURNAL 14 4 A119 A,,2000
FREE RADICAL BIOLOGY AND MEDICINE 25 S23 S,,1998
FASEB JOURNAL,,1997
FASEB JOURNAL 8 4 A364 A,,1994
Redox biology,,2019
Antioxidants redox signaling,,2015
CIRCULATION,,2002
Hypertension,,2001
Circulation Research,,2001
Journal of Cardiac Failure,,1998
Scientific reports,,2019
Redox biology,,2019
American Journal of Physiology Lung Cellular and Molecular Physiology,,2019
Haematologica haematol 2018,,2019
Hypertension 72 Suppl_1,,2018
Hypertension 72 Suppl_1,,2018
Hypertension 72 Suppl_1 AP142 AP,,2018
Hypertension 72 Suppl_1 AP143 AP,,2018
Signal Transduction and Smooth Muscle,,2018
US Patent App 15,,2018
Blood 130 Suppl 1,,2017
US Patent 9,,2017
Hypertension 70 suppl_1 AP248 AP,,2017
US Patent App 15,,2017
Arteriosclerosis Thrombosis and Vascular Biology 37 suppl_1 A631 A,,2017
AMERICAN JOURNAL OF TRANSPLANTATION,,2017
The FASEB Journal 31 1_supplement 1015 29 1015,,2017
Stroke 48 suppl_1 ATMP115 ATMP,,2017
Circulation 134 suppl_1 A19580 A,,2016
Free Radical Biology and Medicine 100 S,,2016
Chest 148 4 929A,,2015
Hypertension 66 suppl_1 A123 A,,2015
Hypertension 66 suppl_1 AP132 AP,,2015
Hypertension 66 suppl_1 A096 A,,2015
US Patent 8,,2015
American Journal of Respiratory and Critical Care Medicine,,2015
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,,2015
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,,2014
American Journal of Physiology Heart and Circulatory Physiology 306 2 H,,2014
Circulation research,,2014
,,2013
The FASEB Journal 27 1_supplement 1090 5 1090,,2013
American Journal of Transplantation,,2013
Am J Respir Crit Care Med 187 A,,2013
Free Radical Biology and Medicine S,,2013
Free Radical Biology and Medicine S67 S,,2013
Hypertension 60 3_MeetingAbstracts,,2012
Hypertension 60 suppl_1 A94 A,,2012
Hypertension 60 suppl_1 A368 A,,2012
Medicinski vjesnik 44 1 4,,2012
Free Radical Biology and Medicine 51 S,,2011
Free Radical Biology and Medicine 51 S,,2011
Free Radical Biology and Medicine 51 S,,2011
Vascular Pharmacology 55 5 6 e1,,2011
Free Radical Biology and Medicine S95 S,,2011
Free Radical Biology and Medicine 49 S,,2010
HYPERTENSION 56 5 E66,,2010
Circulation 120 suppl_18 S1132 S,,2009
HYPERTENSION 54 4 E92,,2009
Free Radical Biology and Medicine 47 S,,2009
FREE RADICAL BIOLOGY AND MEDICINE 47 S139 S,,2009
Journal of Vascular Research,,2009
HYPERTENSION 52 4 E120,,2008
The FASEB Journal 22 1_supplement 758 22 758,,2008
The FASEB Journal 22 1_supplement 611 26 611,,2008
Pharmacological Reports,,2008
Hypertension,,2008
Circulation 116 suppl_16 II_183 II_,,2007
HYPERTENSION 50 4 E105,,2007
Hypertension,,2006
Hypertension,,2006
Hypertension,,2006
Free Radical Biology and Medicine 39 S67 S,,2005
Free Radical Biology and Medicine 39 S,,2005
Hypertension,,2004
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,,2004
HYPERTENSION,,2004
HYPERTENSION,,2004
HYPERTENSION,,2003
HYPERTENSION,,2002
HYPERTENSION,,2002
American Journal of Food Technology,,2002
CIRCULATION,,2001
HYPERTENSION,,2001
FASEB JOURNAL 15 5 A775 A,,2001
Hypertension,,2001
JOURNAL OF LEUKOCYTE BIOLOGY,,2001
,,2001
CIRCULATION,,2000
CIRCULATION,,1999
Hypertension,,1999
Hypertension,,1999
Journal of Pharmacology and Toxicology,,1999
Circulation Research,,1999
Hypertension,,1998
American Journal of Hypertension 11 S4 200A 200A,,1998
CIRCULATION,,1997
Hypertension,,1997
American Journal of Hypertension 4 10 160A,,1997
Circulation Research,,1994
CIRCULATION,,1993
,,1993
CIRCULATION,,1992
FASEB JOURNAL 2 5 A1144 A,,1988
FEDERATION PROCEEDINGS,,1987
,,
,,
,,
,,
,,
,,
,,
Journal of Cerebral,journals.sagepub.com,2012
Stem,Wiley Online Library,2016
Pediatric,nature.com,2016
Cancer immunology,AACR,2018
Cell reports,diva-portal.org,2019
Scientific reports,nature.com,2018
Journal of Cerebral,journals.sagepub.com,2018
Cellular Physiology and,karger.com,2018
Cell reports,Elsevier,2019
Analytical chemistry,,1996
Science,,1989
Nature,,2003
Nature biotechnology,,2008
Molecular cellular proteomics,,2002
Nature,,2002
Cell,,1996
Nature methods,,2009
Nature protocols,,2006
Nature biotechnology,,1999
Cell,,2006
Science,,2009
Nature,,2000
Journal of proteome research,,2011
Analytical chemistry,,1996
Science,,1997
Nature,,1996
Mass Spectrometry Reviews,,1990
Nature biotechnology,,2003
Nature protocols,,2007
Analytical chemistry,,1994
Nature chemical biology,,2005
Molecular Cellular Proteomics,,2005
Analytical chemistry,,2003
Proceedings of the National Academy of Sciences,,1996
Annual review of biochemistry,,2001
The EMBO journal,,1997
Molecular cellular proteomics,,2014
Molecular Cellular Proteomics,,2005
Science,,1997
Genes development,,2002
Nature reviews Molecular cell biology,,2004
Nature,,2003
Nature,,2003
International Journal of Mass Spectrometry and Ion Processes 136 2 3,,1994
Sci Signal 3 104 ra3 ra,,2010
Biological mass spectrometry,,1993
Nature,,2005
Nature methods,,2016
Current biology,,2002
Molecular Cellular Proteomics,,2004
Nature,,1995
Trends in biotechnology,,2002
Nature reviews Molecular cell biology,,2006
Genome research,,2002
Nature,,2006
Cell,,2001
Cell,,1997
Proceedings of the National Academy of Sciences,,2003
Nature,,2008
Cell,,2003
